,heat KRÜ,Melser KRÜ,Shyy KRÜ,keznit KRÜ,mta KRÜ
Foxy9 DRX,,0 2 -2,,0 1 -1,
BuZz DRX,,0 2 -2,1 1 +0,0 1 -1,
MaKo DRX,,,0 1 -1,0 1 -1,
BeYN DRX,,0 1 -1,0 1 -1,0 2 -2,0 0
Flashback DRX,,1 0 +1,,,
