,heat KRÜ,Melser KRÜ,Shyy KRÜ,keznit KRÜ,mta KRÜ
Foxy9 DRX,,,1 0 +1,,
BuZz DRX,1 0 +1,1 0 +1,3 0 +3,1 0 +1,2 0 +2
MaKo DRX,,0 1 -1,,,
BeYN DRX,,,,0 1 -1,
Flashback DRX,,,,,
