,heat KRÜ,Melser KRÜ,Shyy KRÜ,keznit KRÜ,mta KRÜ
Foxy9 DRX,3 2 +1,3 2 +1,6 3 +3,2 3 -1,5 2 +3
BuZz DRX,8 5 +3,3 0 +3,5 3 +2,1 4 -3,6 2 +4
MaKo DRX,0 3 -3,3 0 +3,0 2 -2,1 5 -4,1 1 +0
BeYN DRX,1 2 -1,3 3 +0,1 1 +0,6 2 +4,4 1 +3
Flashback DRX,5 2 +3,1 3 -2,2 3 -1,6 0 +6,1 0 +1
