,heat KRÜ,Melser KRÜ,Shyy KRÜ,keznit KRÜ,mta KRÜ
Foxy9 DRX,0 4 -4,0 6 -6,3 1 +2,1 3 -2,3 0 +3
BuZz DRX,2 0 +2,0 4 -4,3 3 +0,1 5 -4,1 3 -2
MaKo DRX,2 1 +1,1 5 -4,0 1 -1,3 5 -2,2 1 +1
BeYN DRX,2 1 +1,0 4 -4,1 4 -3,2 5 -3,0 0
Flashback DRX,1 4 -3,3 3 +0,2 4 -2,2 0 +2,1 2 -1
