,heat KRÜ,Melser KRÜ,Shyy KRÜ,keznit KRÜ,mta KRÜ
Foxy9 DRX,,0 2 -2,1 2 -1,0 2 -2,1 1 +0
BuZz DRX,2 1 +1,1 2 -1,4 2 +2,1 3 -2,1 1 +0
MaKo DRX,0 1 -1,2 0 +2,0 1 -1,0 3 -3,2 0 +2
BeYN DRX,,0 1 -1,0 1 -1,3 3 +0,1 0 +1
Flashback DRX,,2 0 +2,3 2 +1,1 0 +1,
