,heat KRÜ,Melser KRÜ,Shyy KRÜ,keznit KRÜ,mta KRÜ
Foxy9 DRX,4 8 -4,6 10 -4,11 6 +5,5 7 -2,10 6 +4
BuZz DRX,13 6 +7,5 4 +1,13 6 +7,3 15 -12,9 10 -1
MaKo DRX,5 7 -2,7 6 +1,0 5 -5,7 14 -7,6 3 +3
BeYN DRX,5 5 +0,6 9 -3,5 6 -1,11 11 +0,8 5 +3
Flashback DRX,12 10 +2,9 7 +2,9 9 +0,14 1 +13,7 7 +0
