,heat KRÜ,Melser KRÜ,Shyy KRÜ,keznit KRÜ,mta KRÜ
Foxy9 DRX,1 2 -1,3 2 +1,2 2 +0,2 1 +1,2 4 -2
BuZz DRX,3 1 +2,2 0 +2,5 0 +5,1 6 -5,2 5 -3
MaKo DRX,3 3 +0,3 1 +2,0 2 -2,3 4 -1,3 1 +2
BeYN DRX,2 2 +0,3 2 +1,3 1 +2,3 4 -1,4 4 +0
Flashback DRX,6 4 +2,5 1 +4,5 2 +3,6 1 +5,5 5 +0
