,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
BuZz DRX,,1 Round 8 keznit Shyy,,,,,,,,,44,0,0
MaKo DRX,,3 Round 3 keznit mta Round 8 heat mta Round 9 heat keznit,,,,,,,,,48,3,0
BeYN DRX,,1 Round 4 keznit heat,,,,,,,,,26,0,0
Foxy9 DRX,,2 Round 9 Shyy mta Round 10 mta Shyy,,,,,,,,,42,1,0
Flashback DRX,,1 Round 1 keznit Melser,1 Round 3 Melser Shyy heat,,,,,,,,45,0,0
Melser KRÜ,,4 Round 1 Foxy9 BeYN Round 2 BuZz Foxy9 Round 9 BeYN BuZz Round 11 BeYN Foxy9,2 Round 10 Flashback BeYN Foxy9 Round 13 Flashback MaKo Foxy9,1 Round 5 Foxy9 BuZz Flashback MaKo,,1 Round 8 MaKo,1 Round 13 MaKo Foxy9,,,,127,0,1
keznit KRÜ,,5 Round 1 MaKo BuZz Round 4 BuZz MaKo Round 8 Foxy9 BeYN Round 10 MaKo BuZz Round 12 BeYN BuZz,,1 Round 6 Foxy9 BeYN BuZz MaKo,,,,,,,72,0,1
heat KRÜ,,2 Round 2 MaKo BeYN Round 14 Flashback Foxy9,,,,,,,,,59,0,0
Shyy KRÜ,,2 Round 4 BeYN Flashback Round 15 BeYN Foxy9,1 Round 7 MaKo BuZz BeYN,,,1 Round 1 Flashback,1 Round 4 BeYN Flashback,,,,53,0,0
mta KRÜ,,2 Round 8 BuZz Flashback Round 15 Flashback MaKo,,,,,,,,,24,2,0
