,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
paTiTek TL,,3 Round 1 batujnax penny Round 7 OLIZERA penny Round 18 MOLSI batujnax,1 Round 21 OLIZERA penny MOLSI,,,,,,,,41,6,1
nAts TL,,1 Round 20 AvovA MOLSI,,,1 Round 4 OLIZERA penny batujnax MOLSI AvovA,,1 Round 4 MOLSI AvovA,,,,62,1,0
trexx TL,,2 Round 12 MOLSI AvovA Round 16 OLIZERA batujnax,1 Round 24 AvovA batujnax MOLSI,1 Round 15 batujnax AvovA penny MOLSI,,,,,,,46,1,0
keiko TL,,1 Round 10 penny AvovA,1 Round 17 MOLSI AvovA penny,,,1 Round 17 penny,,,,,38,2,1
kamo TL,,4 Round 3 MOLSI AvovA Round 8 batujnax penny Round 10 batujnax OLIZERA Round 13 penny MOLSI,1 Round 12 OLIZERA penny batujnax,1 Round 6 OLIZERA MOLSI batujnax penny,,,,,,,56,0,0
MOLSI APK,,4 Round 6 paTiTek trexx Round 9 nAts trexx Round 15 kamo nAts Round 20 kamo keiko,,1 Round 11 paTiTek nAts keiko trexx,,,,,,,53,8,0
AvovA APK,,3 Round 14 paTiTek keiko Round 17 trexx nAts Round 20 trexx paTiTek,,,,1 Round 21 paTiTek,,,,,56,0,0
penny APK,,2 Round 14 nAts kamo Round 23 trexx nAts,4 Round 3 keiko kamo paTiTek Round 16 trexx paTiTek nAts Round 19 paTiTek kamo nAts Round 22 trexx kamo nAts,,,,,,,,72,1,1
OLIZERA APK,,3 Round 3 nAts trexx Round 15 keiko trexx OLIZERA Round 21 kamo keiko,,,,2 Round 15 trexx Round 24 trexx,,,,,25,1,0
batujnax APK,,3 Round 4 kamo trexx Round 7 paTiTek trexx Round 23 paTiTek keiko,1 Round 13 trexx kamo nAts,,,,,,,,57,1,1
