,MOLSI APK,AvovA APK,batujnax APK,OLIZERA APK,penny APK
keiko TL,,,,,
trexx TL,,,,0 1 -1,
nAts TL,,,2 0 +2,,2 0 +2
paTiTek TL,0 1 -1,,1 1 +0,,3 2 +1
kamo TL,,0 2 -2,5 2 +3,2 0 +2,0 2 -2
