,alexiiik NAVI,Ruxic NAVI,ANGE1 NAVI,hiro NAVI,Shao NAVI
grubinho GX,,1 1 +0,,0 1 -1,0 1 -1
Cloud GX,,,,0 1 -1,
Flickless GX,,,1 0 +1,0 1 -1,
ara GX,1 0 +1,,,2 0 +2,0 1 -1
westside GX,0 2 -2,0 1 -1,1 1 +0,1 1 +0,
