,alexiiik NAVI,Ruxic NAVI,ANGE1 NAVI,hiro NAVI,Shao NAVI
grubinho GX,1 0 +1,2 3 -1,1 1 +0,1 1 +0,1 2 -1
Cloud GX,1 1 +0,0 1 -1,,1 3 -2,0 1 -1
Flickless GX,0 1 -1,,2 0 +2,0 1 -1,
ara GX,5 1 +4,0 1 -1,,4 0 +4,4 4 +0
westside GX,1 6 -5,0 1 -1,2 2 +0,1 1 +0,
