,alexiiik NAVI,Ruxic NAVI,ANGE1 NAVI,hiro NAVI,Shao NAVI
grubinho GX,,1 1 +0,1 0 +1,,1 0 +1
Cloud GX,,0 1 -1,,0 2 -2,
Flickless GX,,,,,
ara GX,2 1 +1,,,2 0 +2,1 2 -1
westside GX,0 3 -3,,1 0 +1,,
