,alexiiik NAVI,Ruxic NAVI,ANGE1 NAVI,hiro NAVI,Shao NAVI
grubinho GX,3 4 -1,3 2 +1,3 1 +2,3 2 +1,5 1 +4
Cloud GX,2 3 -1,5 4 +1,3 0 +3,3 3 +0,1 3 -2
Flickless GX,3 2 +1,3 4 -1,2 2 +0,2 1 +1,1 6 -5
ara GX,4 4 +0,1 1 +0,4 0 +4,5 0 +5,3 8 -5
westside GX,3 5 -2,2 2 +0,3 1 +2,3 2 +1,3 2 +1
