,alexiiik NAVI,Ruxic NAVI,ANGE1 NAVI,hiro NAVI,Shao NAVI
grubinho GX,,,,,
Cloud GX,0 1 -1,,,,
Flickless GX,0 1 -1,,,,
ara GX,,,,,
westside GX,0 2 -2,,,1 0 +1,
