,kaajak FNC,crashies FNC,Chronicle FNC,Boaster FNC,Alfajer FNC
bang SEN,3 7 -4,2 2 +0,6 3 +3,5 1 +4,3 3 +0
johnqt SEN,0 1 -1,1 1 +0,3 4 -1,0 1 -1,2 4 -2
N4RRATE SEN,7 2 +5,3 2 +1,4 3 +1,3 1 +2,4 6 -2
zekken SEN,2 4 -2,3 2 +1,2 2 +0,4 3 +1,3 3 +0
Zellsis SEN,3 3 +0,6 1 +5,2 4 -2,5 1 +4,4 4 +0
