,kaajak FNC,crashies FNC,Chronicle FNC,Boaster FNC,Alfajer FNC
bang SEN,10 16 -6,5 10 -5,12 7 +5,9 6 +3,9 8 +1
johnqt SEN,4 7 -3,7 9 -2,5 8 -3,4 4 +0,5 15 -10
N4RRATE SEN,14 6 +8,7 9 -2,10 11 -1,11 4 +7,11 18 -7
zekken SEN,9 11 -2,7 6 +1,8 7 +1,8 10 -2,9 13 -4
Zellsis SEN,7 10 -3,11 6 +5,7 9 -2,9 3 +6,7 12 -5
