,kaajak FNC,crashies FNC,Chronicle FNC,Boaster FNC,Alfajer FNC
bang SEN,2 4 -2,,0 1 -1,0 1 -1,2 1 +1
johnqt SEN,0 1 -1,1 0 +1,1 2 -1,,0 4 -4
N4RRATE SEN,5 2 +3,0 1 -1,0 2 -2,0 2 -2,1 1 +0
zekken SEN,5 6 -1,0 1 -1,1 2 -1,0 4 -4,1 5 -4
Zellsis SEN,0 2 -2,0 1 -1,2 0 +2,,
