,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Zellsis SEN,,1 Round 13 Chronicle kaajak,,,,,,,,,39,1,0
johnqt SEN,,,,,,,,,,,23,1,0
bang SEN,,2 Round 17 Alfajer Chronicle Round 19 Chronicle kaajak,1 Round 4 Chronicle crashies Boaster,1 Round 9 Alfajer kaajak Chronicle crashies,,,,,,,62,0,0
zekken SEN,,2 Round 6 crashies kaajak Round 15 kaajak Chronicle,1 Round 1 Alfajer crashies Chronicle,1 Round 7 crashies Alfajer Chronicle kaajak,,,,,,,44,0,0
N4RRATE SEN,,2 Round 3 kaajak crashies Round 17 crashies Boaster,2 Round 11 Chronicle Alfajer kaajak Round 15 Boaster crashies Alfajer,,,,,,,,57,4,0
crashies FNC,,3 Round 5 N4RRATE johnqt Round 15 zekken johnqt Round 19 johnqt bang,1 Round 20 johnqt Zellsis bang,,,,,,,,66,5,2
Boaster FNC,,1 Round 12 bang johnqt,,,,,,,,,35,1,1
Chronicle FNC,,3 Round 12 zekken Zellsis Round 14 Zellsis bang Round 18 bang N4RRATE,1 Round 5 zekken bang Zellsis,,,,,,,,61,1,0
kaajak FNC,,4 Round 1 johnqt zekken Round 8 N4RRATE bang Round 11 Zellsis bang Round 18 zekken Zellsis,,,,1 Round 4 bang,,,,,41,1,0
Alfajer FNC,,2 Round 2 N4RRATE johnqt Round 13 N4RRATE Zellsis,1 Round 10 N4RRATE johnqt Zellsis,1 Round 6 zekken N4RRATE Zellsis johnqt,,,1 Round 6 Zellsis johnqt,,,,66,0,0
