,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Zellsis SEN,,6,4,,,1,,,,,53,2,3
johnqt SEN,,3,2,,,,,,,,32,7,1
bang SEN,,9,2,1,,,,,,,43,2,0
zekken SEN,,9,1,1,,1,,,,,42,2,0
N4RRATE SEN,,6,6,1,,1,1,,1,,62,12,0
crashies FNC,,5,2,,,,,,,,54,9,3
Boaster FNC,,4,,,,,,,,,35,3,2
Chronicle FNC,,7,2,1,,1,1,,,,55,9,3
kaajak FNC,,11,2,,,1,1,,,,53,2,2
Alfajer FNC,,9,7,1,,,1,,,,71,1,0
