,kaajak FNC,crashies FNC,Chronicle FNC,Boaster FNC,Alfajer FNC
bang SEN,0 2 -2,,,1 0 +1,0 1 -1
johnqt SEN,0 3 -3,,,,0 1 -1
N4RRATE SEN,0 1 -1,,,,0 2 -2
zekken SEN,0 1 -1,1 0 +1,1 0 +1,,1 4 -3
Zellsis SEN,0 1 -1,,,,0 2 -2
