,kaajak FNC,crashies FNC,Chronicle FNC,Boaster FNC,Alfajer FNC
bang SEN,1 1 +0,,0 1 -1,,1 0 +1
johnqt SEN,,,0 1 -1,,
N4RRATE SEN,3 1 +2,,,0 1 -1,1 0 +1
zekken SEN,2 4 -2,0 1 -1,1 0 +1,0 2 -2,
Zellsis SEN,0 1 -1,,,,
