,kaajak FNC,crashies FNC,Chronicle FNC,Boaster FNC,Alfajer FNC
bang SEN,2 4 -2,3 4 -1,4 3 +1,4 3 +1,2 0 +2
johnqt SEN,4 2 +2,0 6 -6,0 2 -2,1 2 -1,0 4 -4
N4RRATE SEN,4 2 +2,3 3 +0,3 2 +1,3 3 +0,2 5 -3
zekken SEN,4 4 +0,3 2 +1,3 4 -1,0 1 -1,5 5 +0
Zellsis SEN,1 2 -1,1 3 -2,2 4 -2,2 1 +1,2 5 -3
