,kaajak FNC,crashies FNC,Chronicle FNC,Boaster FNC,Alfajer FNC
bang SEN,5 5 +0,0 4 -4,2 1 +1,0 2 -2,4 5 -1
johnqt SEN,0 4 -4,6 2 +4,2 2 +0,3 1 +2,3 7 -4
N4RRATE SEN,3 2 +1,1 4 -3,3 6 -3,5 0 +5,5 7 -2
zekken SEN,3 3 +0,1 2 -1,3 1 +2,4 6 -2,1 5 -4
Zellsis SEN,3 5 -2,4 2 +2,3 1 +2,2 1 +1,1 3 -2
