,kaajak FNC,crashies FNC,Chronicle FNC,Boaster FNC,Alfajer FNC
bang SEN,1 3 -2,,,,0 1 -1
johnqt SEN,0 1 -1,1 0 +1,1 1 +0,,0 3 -3
N4RRATE SEN,1 0 +1,0 1 -1,0 1 -1,,
zekken SEN,1 0 +1,,,0 1 -1,0 3 -3
Zellsis SEN,0 1 -1,,1 0 +1,,
