,johnqt SEN,zekken SEN,Zellsis SEN,N4RRATE SEN,bang SEN
trent G2,1 3 -2,5 1 +4,6 4 +2,4 3 +1,4 6 -2
JonahP G2,2 4 -2,1 4 -3,4 1 +3,2 2 +0,0 4 -4
leaf G2,6 3 +3,2 4 -2,2 1 +1,4 1 +3,5 5 +0
jawgemo G2,3 1 +2,3 4 -1,3 4 -1,6 3 +3,0 3 -3
valyn G2,4 4 +0,5 4 +1,4 3 +1,4 3 +1,4 3 +1
