,johnqt SEN,zekken SEN,Zellsis SEN,N4RRATE SEN,bang SEN
trent G2,,,1 2 -1,2 0 +2,2 2 +0
JonahP G2,,0 1 -1,2 2 +0,1 1 +0,1 1 +0
leaf G2,1 0 +1,3 3 +0,0 1 -1,3 0 +3,1 0 +1
jawgemo G2,0 1 -1,3 5 -2,1 1 +0,3 3 +0,0 3 -3
valyn G2,0 1 -1,2 3 -1,0 3 -3,2 3 -1,1 1 +0
