,johnqt SEN,zekken SEN,Zellsis SEN,N4RRATE SEN,bang SEN
trent G2,6 2 +4,2 1 +1,4 1 +3,2 0 +2,4 1 +3
JonahP G2,2 2 +0,2 3 -1,3 1 +2,1 1 +0,3 2 +1
leaf G2,1 2 -1,2 4 -2,2 2 +0,7 2 +5,2 2 +0
jawgemo G2,2 4 -2,3 3 +0,2 1 +1,5 3 +2,1 2 -1
valyn G2,3 2 +1,4 2 +2,4 2 +2,2 3 -1,5 1 +4
