,johnqt SEN,zekken SEN,Zellsis SEN,N4RRATE SEN,bang SEN
trent G2,,,0 1 -1,2 0 +2,1 2 -1
JonahP G2,,,2 2 +0,1 1 +0,1 0 +1
leaf G2,1 0 +1,1 0 +1,,,1 0 +1
jawgemo G2,,0 1 -1,0 1 -1,,0 1 -1
valyn G2,0 1 -1,,0 1 -1,2 0 +2,0 1 -1
