,johnqt SEN,zekken SEN,Zellsis SEN,N4RRATE SEN,bang SEN
trent G2,,,1 0 +1,,
JonahP G2,,,,,0 1 -1
leaf G2,,1 3 -2,0 1 -1,3 0 +3,
jawgemo G2,,0 1 -1,1 0 +1,1 1 +0,0 1 -1
valyn G2,,0 1 -1,0 1 -1,0 1 -1,
