,johnqt SEN,zekken SEN,Zellsis SEN,N4RRATE SEN,bang SEN
trent G2,5 2 +3,6 1 +5,2 4 -2,3 2 +1,3 6 -3
JonahP G2,2 3 -1,1 4 -3,2 4 -2,2 2 +0,4 4 +0
leaf G2,5 4 +1,7 3 +4,5 4 +1,4 4 +0,3 3 +0
jawgemo G2,2 5 -3,0 2 -2,3 2 +1,1 5 -4,3 4 -1
valyn G2,2 2 +0,4 2 +2,2 6 -4,4 2 +2,3 5 -2
