,johnqt SEN,zekken SEN,Zellsis SEN,N4RRATE SEN,bang SEN
trent G2,12 7 +5,13 3 +10,12 9 +3,9 5 +4,11 13 -2
JonahP G2,6 9 -3,4 11 -7,9 6 +3,5 5 +0,7 10 -3
leaf G2,12 9 +3,11 11 +0,9 7 +2,15 7 +8,10 10 +0
jawgemo G2,7 10 -3,6 9 -3,8 7 +1,12 11 +1,4 9 -5
valyn G2,9 8 +1,13 8 +5,10 11 -1,10 8 +2,12 9 +3
