,Jamppi BBL,MAGNUM BBL,PROFEK BBL,LewN BBL,sociablEE BBL
ara GX,0 1 -1,3 1 +2,3 1 +2,5 1 +4,2 2 +0
westside GX,0 3 -3,2 0 +2,,1 1 +0,2 1 +1
grubinho GX,1 1 +0,0 2 -2,1 1 +0,1 5 -4,1 2 -1
Cloud GX,3 0 +3,,1 0 +1,1 1 +0,1 1 +0
Flickless GX,1 2 -1,2 2 +0,0 2 -2,4 1 +3,0 2 -2
