,Jamppi BBL,MAGNUM BBL,PROFEK BBL,LewN BBL,sociablEE BBL
ara GX,3 7 -4,1 2 -1,6 1 +5,2 2 +0,5 1 +4
westside GX,6 3 +3,2 4 -2,1 0 +1,5 3 +2,2 3 -1
grubinho GX,3 2 +1,2 5 -3,3 0 +3,3 1 +2,5 4 +1
Cloud GX,2 0 +2,4 2 +2,3 3 +0,1 2 -1,1 9 -8
Flickless GX,2 2 +0,5 4 +1,2 1 +1,2 3 -1,2 4 -2
