,Jamppi BBL,MAGNUM BBL,PROFEK BBL,LewN BBL,sociablEE BBL
ara GX,,,,1 0 +1,1 0 +1
westside GX,,,,,0 2 -2
grubinho GX,,,,,0 1 -1
Cloud GX,,,,,0 1 -1
Flickless GX,,,,,
