,Jamppi BBL,MAGNUM BBL,PROFEK BBL,LewN BBL,sociablEE BBL
ara GX,8 2 +6,6 2 +4,5 6 -1,6 3 +3,6 2 +4
westside GX,0 3 -3,3 4 -1,4 6 -2,2 5 -3,3 2 +1
grubinho GX,3 1 +2,0 5 -5,2 3 -1,2 5 -3,3 3 +0
Cloud GX,4 3 +1,5 2 +3,3 2 +1,3 4 -1,1 7 -6
Flickless GX,2 1 +1,5 6 -1,1 1 +0,3 9 -6,4 2 +2
