,Jamppi BBL,MAGNUM BBL,PROFEK BBL,LewN BBL,sociablEE BBL
ara GX,0 1 -1,1 0 +1,1 0 +1,1 0 +1,1 0 +1
westside GX,0 1 -1,,,,
grubinho GX,0 1 -1,0 2 -2,1 0 +1,1 1 +0,0 1 -1
Cloud GX,,,1 0 +1,1 1 +0,
Flickless GX,,0 2 -2,0 1 -1,1 0 +1,
