,Jamppi BBL,MAGNUM BBL,PROFEK BBL,LewN BBL,sociablEE BBL
ara GX,4 2 +2,3 3 +0,4 3 +1,3 3 +0,3 6 -3
westside GX,1 3 -2,4 4 +0,5 2 +3,4 3 +1,5 3 +2
grubinho GX,3 2 +1,4 2 +2,4 2 +2,3 5 -2,3 5 -2
Cloud GX,4 3 +1,3 3 +0,2 3 -1,2 3 -1,4 3 +1
Flickless GX,5 5 +0,3 4 -1,3 0 +3,5 6 -1,1 4 -3
