,Jamppi BBL,MAGNUM BBL,PROFEK BBL,LewN BBL,sociablEE BBL
ara GX,15 11 +4,10 7 +3,15 10 +5,11 8 +3,14 9 +5
westside GX,7 9 -2,9 12 -3,10 8 +2,11 11 +0,10 8 +2
grubinho GX,9 5 +4,6 12 -6,9 5 +4,8 11 -3,11 12 -1
Cloud GX,10 6 +4,12 7 +5,8 8 +0,6 9 -3,6 19 -13
Flickless GX,9 8 +1,13 14 -1,6 2 +4,10 18 -8,7 10 -3
