,Jamppi BBL,MAGNUM BBL,PROFEK BBL,LewN BBL,sociablEE BBL
ara GX,,2 1 +1,1 1 +0,3 1 +2,0 1 -1
westside GX,0 1 -1,,,,
grubinho GX,1 0 +1,,,0 2 -2,1 0 +1
Cloud GX,1 0 +1,,,,1 0 +1
Flickless GX,1 2 -1,1 0 +1,,2 0 +2,0 1 -1
