,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Juicy WOL,,6 Round 3 kaajak Boaster Round 6 Boaster kaajak Round 15 Boaster kaajak Round 21 Alfajer Chronicle Round 22 kaajak crashies Juicy Round 23 crashies Alfajer,,,,,,,,,69,0,1
SiuFatBB WOL,,1 Round 8 Chronicle crashies,,,,1 Round 8 crashies,,,,,25,7,1
Yuicaw WOL,,2 Round 5 Boaster kaajak Round 19 Alfajer Chronicle,,,,,,,,,36,0,1
Spring WOL,,5 Round 7 crashies Alfajer Round 9 crashies Alfajer Round 15 crashies Chronicle Round 16 kaajak Chronicle Round 23 Boaster Chronicle,3 Round 17 Alfajer crashies Chronicle Round 18 crashies Alfajer kaajak Round 19 crashies kaajak Boaster,,,,,,,,93,0,0
Lysoar WOL,,5 Round 3 crashies Alfajer Round 7 kaajak Boaster Round 9 Chronicle kaajak Round 20 crashies Alfajer Round 21 Boaster crashies,,,,,,,,,47,1,1
crashies FNC,,6 Round 8 Yuicaw Lysoar Round 10 Yuicaw SiuFatBB Round 12 Juicy Yuicaw Round 13 Juicy SiuFatBB Round 17 Juicy Yuicaw Round 20 Juicy SiuFatBB,1 Round 11 Yuicaw Spring SiuFatBB,,,,,,,,53,3,0
Boaster FNC,,,,,,1 Round 17 Spring,,,,,35,5,1
Chronicle FNC,,,2 Round 1 Lysoar Juicy SiuFatBB Round 7 Yuicaw Juicy Spring,,,1 Round 7 Spring,,,,,56,0,0
kaajak FNC,,1 Round 20 Yuicaw Lysoar,,,,,,,,,28,1,0
Alfajer FNC,,2 Round 7 SiuFatBB Lysoar Round 10 Juicy Lysoar,1 Round 12 Lysoar Spring SiuFatBB,,1 Round 14 Yuicaw Juicy Spring SiuFatBB Lysoar,,,,,,57,1,0
