,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Juicy WOL,,5 Round 7 Boaster crashies Round 12 kaajak Alfajer Round 15 Alfajer kaajak Round 17 Alfajer crashies Round 21 Boaster Chronicle,,,,,,,,,53,0,0
SiuFatBB WOL,,3 Round 4 Alfajer crashies Round 5 Alfajer Boaster Round 15 crashies Chronicle,,,,,,,,,43,6,0
Yuicaw WOL,,,1 Round 14 crashies kaajak Alfajer,,,,,,,,29,1,0
Spring WOL,,2 Round 12 Chronicle Boaster Round 18 kaajak Alfajer,1 Round 13 kaajak Boaster Alfajer,1 Round 8 Chronicle Alfajer crashies Boaster Spring,,,,,,,59,1,0
Lysoar WOL,,4 Round 10 Alfajer kaajak Round 13 Chronicle crashies Round 16 Boaster crashies Round 21 kaajak crashies,,,,1 Round 9 Boaster,,,,,46,1,0
crashies FNC,,3 Round 2 Juicy Spring Round 3 Juicy Yuicaw Round 20 Juicy SiuFatBB,,,,1 Round 12 Spring,,,,,44,4,0
Boaster FNC,,1 Round 9 Juicy Yuicaw,,,,1 Round 8 Spring,,,,,38,4,0
Chronicle FNC,,5 Round 4 SiuFatBB Juicy Round 5 Yuicaw SiuFatBB Round 6 Spring Yuicaw Round 12 Yuicaw Juicy Round 22 Lysoar SiuFatBB,,,,1 Round 5 SiuFatBB,,,,,66,1,0
kaajak FNC,,1 Round 4 Yuicaw Lysoar,3 Round 1 Yuicaw Juicy Lysoar Round 2 SiuFatBB Lysoar Yuicaw Round 15 Spring Yuicaw Lysoar,,,,,,,,51,0,0
Alfajer FNC,,6 Round 8 SiuFatBB Lysoar Round 9 Spring SiuFatBB Round 12 Lysoar SiuFatBB Round 13 Yuicaw Lysoar Round 19 Lysoar Yuicaw Round 20 Lysoar Spring,1 Round 7 Yuicaw Spring Lysoar,,,,,,,,59,0,2
