,Shao NAVI,koalanoob NAVI,ANGE1 NAVI,Ruxic NAVI,hiro NAVI
florescent APK,0 1 -1,1 0 +1,1 1 +0,1 0 +1,0 1 -1
MOLSI APK,,,0 2 -2,,
AvovA APK,,1 0 +1,0 1 -1,,1 0 +1
batujnax APK,,2 1 +1,1 1 +0,1 0 +1,
Governor APK,,,,1 2 -1,0 3 -3
