,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
MOLSI APK,,2 Round 7 Ruxic hiro Round 12 hiro Shao,,,,,,,,,57,1,0
AvovA APK,,5 Round 1 ANGE1 koalanoob Round 6 koalanoob Shao Round 12 Ruxic koalanoob Round 13 ANGE1 Shao Round 14 Ruxic koalanoob,,,,,,,,,47,1,0
Governor APK,,1 Round 19 Shao hiro,,,,,,,,,26,0,2
florescent APK,,2 Round 4 Shao koalanoob Round 11 Ruxic Shao,2 Round 8 hiro koalanoob ANGE1 Round 17 ANGE1 Shao hiro,,1 Round 5 Ruxic ANGE1 koalanoob hiro Shao,,,,,,82,1,0
batujnax APK,,1 Round 18 hiro koalanoob,,,,,,,,,41,0,0
ANGE1 NAVI,,,,1 Round 15 Governor AvovA florescent MOLSI,,,,,,,36,4,0
Shao NAVI,,3 Round 4 AvovA batujnax Round 7 Governor AvovA Round 12 florescent AvovA,2 Round 3 Governor AvovA MOLSI Round 9 florescent Governor AvovA,,,,,,,,71,3,0
koalanoob NAVI,,1 Round 5 MOLSI AvovA,1 Round 17 Governor florescent batujnax,,,,,,,,47,0,0
Ruxic NAVI,,6 Round 4 florescent Governor Round 7 florescent batujnax Round 10 AvovA Governor Round 13 AvovA batujnax Round 16 Governor MOLSI Round 19 Governor AvovA,,2 Round 1 batujnax MOLSI AvovA Governor Round 2 batujnax Governor florescent AvovA,,,1 Round 1 AvovA Governor,,,,75,3,0
hiro NAVI,,1 Round 11 AvovA florescent,1 Round 6 Governor MOLSI florescent,,,,,,,,54,1,0
