,Kr1stal GE,ban GE,UdoTan GE,Papi GE,yoman GE
Munchkin GEN,1 0 +1,,1 0 +1,1 0 +1,
t3xture GEN,1 0 +1,1 1 +0,1 0 +1,2 1 +1,1 1 +0
Karon GEN,,1 1 +0,,,
Ash GEN,,1 0 +1,0 1 -1,,
Foxy9 GEN,,1 2 -1,,,1 0 +1
