,Kr1stal GE,ban GE,UdoTan GE,Papi GE,yoman GE
Munchkin GEN,0 1 -1,0 1 -1,1 2 -1,,
t3xture GEN,0 1 -1,0 1 -1,,,
Karon GEN,,1 2 -1,1 0 +1,,
Ash GEN,0 1 -1,,,,0 1 -1
Foxy9 GEN,0 1 -1,,1 1 +0,,
