,grubinho GX,Flickless GX,Cloud GX,ara GX,westside GX
KovaQ VIT,,1 0 +1,0 1 -1,2 0 +2,1 0 +1
Less VIT,0 2 -2,1 2 -1,2 0 +2,1 0 +1,1 2 -1
Derke VIT,2 2 +0,2 2 +0,1 0 +1,3 2 +1,0 4 -4
UNFAKE VIT,,0 1 -1,1 1 +0,1 4 -3,
Kicks VIT,0 1 -1,,0 1 -1,1 0 +1,0 2 -2
