,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
UNFAKE VIT,,2 Round 17 westside ara Round 20 ara Cloud,,,,,,,,,27,2,0
Derke VIT,,6 Round 2 grubinho Cloud Round 5 Flickless westside Round 6 Flickless Cloud Round 17 grubinho Cloud Round 23 Cloud Flickless Round 24 ara Flickless,1 Round 1 grubinho ara westside,,,,,,,,70,1,1
KovaQ VIT,,4 Round 2 ara westside Round 3 ara Cloud Round 6 westside grubinho Round 19 Cloud westside,1 Round 22 Flickless ara grubinho,,,1 Round 22 grubinho,,,,,46,3,1
Less VIT,,2 Round 16 westside grubinho Round 20 Flickless grubinho,1 Round 18 westside ara grubinho,1 Round 10 Flickless Cloud grubinho ara,,,,,,,73,0,0
Kicks VIT,,2 Round 14 westside ara Kicks Round 21 Flickless ara,,,,,,,,,42,0,1
Cloud GX,,6 Round 3 Kicks UNFAKE Round 6 KovaQ UNFAKE Round 8 KovaQ Derke Round 11 UNFAKE Kicks Round 12 KovaQ UNFAKE Round 16 KovaQ Kicks,,,,,,,,,48,5,0
grubinho GX,,2 Round 19 Kicks KovaQ Round 22 Kicks Less,,1 Round 24 Derke Kicks Less UNFAKE,,,1 Round 24 Less UNFAKE,,,,50,1,0
Flickless GX,,4 Round 3 Less KovaQ Round 7 UNFAKE KovaQ Round 9 Less Kicks Round 16 Less UNFAKE,,,,1 Round 16 UNFAKE,1 Round 3 KovaQ Less,,,,49,0,2
ara GX,,4 Round 5 UNFAKE Derke Round 7 Less Kicks Round 8 UNFAKE Less Round 14 Less KovaQ,,,,,,,,,43,0,0
westside GX,,2 Round 4 KovaQ UNFAKE Round 21 Derke UNFAKE,1 Round 13 Derke Kicks KovaQ,,,,1 Round 13 Kicks KovaQ,,,,52,2,0
