,grubinho GX,Flickless GX,Cloud GX,ara GX,westside GX
KovaQ VIT,,1 0 +1,,1 0 +1,1 0 +1
Less VIT,,0 2 -2,1 0 +1,,1 1 +0
Derke VIT,2 0 +2,1 2 -1,,1 1 +0,0 2 -2
UNFAKE VIT,,,1 1 +0,0 3 -3,
Kicks VIT,,,0 1 -1,,0 1 -1
