,grubinho GX,Flickless GX,Cloud GX,ara GX,westside GX
KovaQ VIT,,,,,
Less VIT,,,,,
Derke VIT,,,1 0 +1,,
UNFAKE VIT,,,,0 2 -2,
Kicks VIT,,,,0 1 -1,
