,grubinho GX,Flickless GX,Cloud GX,ara GX,westside GX
KovaQ VIT,,,0 1 -1,1 0 +1,
Less VIT,0 2 -2,1 0 +1,1 0 +1,1 0 +1,0 1 -1
Derke VIT,0 2 -2,1 0 +1,1 0 +1,2 1 +1,0 2 -2
UNFAKE VIT,,0 1 -1,,1 1 +0,
Kicks VIT,0 1 -1,,,1 0 +1,0 1 -1
