,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
UNFAKE VIT,,3,1,,,,,,,,33,4,0
Derke VIT,,6,5,1,,,,,,,65,1,1
KovaQ VIT,,4,2,1,,1,,,,,47,7,2
Less VIT,,5,2,1,,,,,,,63,0,0
Kicks VIT,,2,2,,,,1,,,,41,0,1
Cloud GX,,9,1,,,1,,,,,55,8,0
grubinho GX,,6,2,1,,1,1,,,,63,3,0
Flickless GX,,7,,,,1,1,,,,50,3,3
ara GX,,6,,,,,,,,,35,0,0
westside GX,,5,2,,,,2,,,,47,2,0
