,grubinho GX,Flickless GX,Cloud GX,ara GX,westside GX
KovaQ VIT,,,,,
Less VIT,,,,0 2 -2,
Derke VIT,1 0 +1,,2 0 +2,,1 0 +1
UNFAKE VIT,,,,0 4 -4,
Kicks VIT,,,,0 1 -1,
