,grubinho GX,Flickless GX,Cloud GX,ara GX,westside GX
KovaQ VIT,3 6 -3,4 3 +1,2 7 -5,3 0 +3,3 0 +3
Less VIT,4 7 -3,3 3 +0,4 4 +0,2 0 +2,4 2 +2
Derke VIT,3 4 -1,3 1 +2,4 4 +0,7 3 +4,3 3 +0
UNFAKE VIT,3 5 -2,2 3 -1,1 1 +0,4 3 +1,2 4 -2
Kicks VIT,4 2 +2,1 3 -2,4 2 +2,1 3 -2,2 4 -2
