,grubinho GX,Flickless GX,Cloud GX,ara GX,westside GX
KovaQ VIT,3 2 +1,1 2 -1,4 5 -1,5 2 +3,4 5 -1
Less VIT,5 3 +2,3 6 -3,5 0 +5,3 5 -2,5 1 +4
Derke VIT,5 2 +3,5 3 +2,4 4 +0,5 3 +2,4 5 -1
UNFAKE VIT,1 1 +0,1 2 -1,3 6 -3,2 7 -5,3 3 +0
Kicks VIT,1 4 -3,6 2 +4,1 3 -2,3 1 +2,3 3 +0
