,grubinho GX,Flickless GX,Cloud GX,ara GX,westside GX
KovaQ VIT,6 8 -2,5 5 +0,6 12 -6,8 2 +6,7 5 +2
Less VIT,9 10 -1,6 9 -3,9 4 +5,5 5 +0,9 3 +6
Derke VIT,8 6 +2,8 4 +4,8 8 +0,12 6 +6,7 8 -1
UNFAKE VIT,4 6 -2,3 5 -2,4 7 -3,6 10 -4,5 7 -2
Kicks VIT,5 6 -1,7 5 +2,5 5 +0,4 4 +0,5 7 -2
