,kaajak FNC,crashies FNC,Chronicle FNC,Boaster FNC,Alfajer FNC
qRaxs FUT,3 1 +2,2 2 +0,5 1 +4,4 5 -1,3 5 -2
yetujey FUT,4 1 +3,2 6 -4,2 4 -2,2 0 +2,4 1 +3
MrFaliN FUT,1 2 -1,3 4 -1,1 1 +0,2 2 +0,2 1 +1
xeus FUT,3 5 -2,6 2 +4,3 3 +0,2 0 +2,1 4 -3
AtaKaptan FUT,2 4 -2,0 3 -3,4 2 +2,6 1 +5,4 5 -1
