,kaajak FNC,crashies FNC,Chronicle FNC,Boaster FNC,Alfajer FNC
qRaxs FUT,2 0 +2,,,0 1 -1,
yetujey FUT,3 0 +3,1 1 +0,1 0 +1,1 0 +1,2 0 +2
MrFaliN FUT,,,,1 0 +1,0 1 -1
xeus FUT,2 2 +0,1 0 +1,1 1 +0,1 3 -2,1 5 -4
AtaKaptan FUT,3 2 +1,0 1 -1,,2 1 +1,1 1 +0
