,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
qRaxs FUT,,1 Round 15 crashies Alfajer,2 Round 6 Chronicle kaajak Boaster Round 17 kaajak Boaster crashies,1 Round 1 kaajak Boaster Chronicle Alfajer,,,,,,,63,3,0
AtaKaptan FUT,,3 Round 8 Chronicle Boaster Round 15 Chronicle Boaster Round 18 Alfajer Boaster,,1 Round 10 Boaster Chronicle kaajak Alfajer,,1 Round 1 crashies,,,,,56,1,0
MrFaliN FUT,,2 Round 5 crashies Alfajer Round 17 Chronicle Alfajer,,,,1 Round 17 Alfajer,,,1 Round 5 Boaster Chronicle crashies Alfajer,,56,7,1
yetujey FUT,,3 Round 11 crashies Alfajer Round 13 Chronicle Boaster Round 19 kaajak Chronicle,1 Round 14 crashies kaajak Alfajer,,,,,,,,49,0,0
xeus FUT,,2 Round 13 kaajak crashies Round 16 crashies Chronicle,2 Round 9 Alfajer Chronicle crashies Round 18 crashies kaajak Chronicle,,,,,,,,49,0,1
crashies FNC,,2 Round 6 MrFaliN yetujey Round 8 MrFaliN AtaKaptan,,1 Round 1 qRaxs yetujey xeus AtaKaptan crashies,,1 Round 6 yetujey,,,,,64,1,2
Boaster FNC,,1 Round 5 qRaxs MrFaliN,,,,,,,,,35,1,0
Chronicle FNC,,,,,,,,,,,47,0,0
kaajak FNC,,3 Round 4 xeus qRaxs Round 12 xeus yetujey Round 13 MrFaliN AtaKaptan,1 Round 7 xeus MrFaliN AtaKaptan,,,1 Round 8 xeus,,,,,50,0,0
Alfajer FNC,,3 Round 3 xeus qRaxs Round 5 xeus AtaKaptan Round 17 yetujey qRaxs,1 Round 2 xeus AtaKaptan qRaxs,,,,,,,,61,0,3
