,kaajak FNC,crashies FNC,Chronicle FNC,Boaster FNC,Alfajer FNC
qRaxs FUT,3 2 +1,1 3 -2,1 3 -2,2 2 +0,3 4 -1
yetujey FUT,2 2 +0,4 1 +3,6 2 +4,4 3 +1,4 3 +1
MrFaliN FUT,2 4 -2,2 3 -1,3 1 +2,1 1 +0,6 3 +3
xeus FUT,3 3 +0,7 2 +5,5 3 +2,6 4 +2,4 3 +1
AtaKaptan FUT,5 4 +1,3 2 +1,0 4 -4,3 1 +2,2 5 -3
