,kaajak FNC,crashies FNC,Chronicle FNC,Boaster FNC,Alfajer FNC
qRaxs FUT,,,0 1 -1,,0 1 -1
yetujey FUT,,,,,0 1 -1
MrFaliN FUT,,,,,
xeus FUT,,1 0 +1,1 2 -1,,0 1 -1
AtaKaptan FUT,0 1 -1,,0 2 -2,,0 2 -2
