,kaajak FNC,crashies FNC,Chronicle FNC,Boaster FNC,Alfajer FNC
qRaxs FUT,6 3 +3,3 5 -2,6 4 +2,6 7 -1,6 9 -3
yetujey FUT,6 3 +3,6 7 -1,8 6 +2,6 3 +3,8 4 +4
MrFaliN FUT,3 6 -3,5 7 -2,4 2 +2,3 3 +0,8 4 +4
xeus FUT,6 8 -2,13 4 +9,8 6 +2,8 4 +4,5 7 -2
AtaKaptan FUT,7 8 -1,3 5 -2,4 6 -2,9 2 +7,6 10 -4
