,kaajak FNC,crashies FNC,Chronicle FNC,Boaster FNC,Alfajer FNC
qRaxs FUT,1 0 +1,,,,
yetujey FUT,1 0 +1,0 1 -1,1 0 +1,,2 0 +2
MrFaliN FUT,,,,,0 1 -1
xeus FUT,1 0 +1,,1 0 +1,1 3 -2,1 2 -1
AtaKaptan FUT,3 1 +2,0 1 -1,,1 0 +1,0 1 -1
