,kaajak FNC,crashies FNC,Chronicle FNC,Boaster FNC,Alfajer FNC
qRaxs FUT,,,0 1 -1,,
yetujey FUT,,,,,
MrFaliN FUT,,,,,
xeus FUT,,,0 2 -2,,
AtaKaptan FUT,,,0 2 -2,,
